League,date,Currency,PriceCurrency,Value,CurrencyID
Bestiary,2018-03-02,Orb of Augmentation,Chaos Orb,1,11
Bestiary,2018-03-03,Orb of Augmentation,Chaos Orb,0.23902,11
Bestiary,2018-03-04,Orb of Augmentation,Chaos Orb,0.09984,11
Bestiary,2018-03-05,Orb of Augmentation,Chaos Orb,0.05199,11
Bestiary,2018-03-06,Orb of Augmentation,Chaos Orb,0.04286,11
Bestiary,2018-03-07,Orb of Augmentation,Chaos Orb,0.03661,11
Bestiary,2018-03-08,Orb of Augmentation,Chaos Orb,0.0316,11
Bestiary,2018-03-09,Orb of Augmentation,Chaos Orb,0.03108,11
Bestiary,2018-03-10,Orb of Augmentation,Chaos Orb,0.03038,11
Bestiary,2018-03-11,Orb of Augmentation,Chaos Orb,0.0314,11
Bestiary,2018-03-12,Orb of Augmentation,Chaos Orb,0.03391,11
Bestiary,2018-03-13,Orb of Augmentation,Chaos Orb,0.0488,11
Bestiary,2018-03-14,Orb of Augmentation,Chaos Orb,0.04408,11
Bestiary,2018-03-15,Orb of Augmentation,Chaos Orb,0.04475,11
Bestiary,2018-03-16,Orb of Augmentation,Chaos Orb,0.04154,11
Bestiary,2018-03-17,Orb of Augmentation,Chaos Orb,0.04185,11
Bestiary,2018-03-18,Orb of Augmentation,Chaos Orb,0.03889,11
Bestiary,2018-03-19,Orb of Augmentation,Chaos Orb,0.03691,11
Bestiary,2018-03-20,Orb of Augmentation,Chaos Orb,0.03586,11
Bestiary,2018-03-21,Orb of Augmentation,Chaos Orb,0.03435,11
Bestiary,2018-03-22,Orb of Augmentation,Chaos Orb,0.03623,11
Bestiary,2018-03-23,Orb of Augmentation,Chaos Orb,0.03854,11
Bestiary,2018-03-24,Orb of Augmentation,Chaos Orb,0.03966,11
Bestiary,2018-03-25,Orb of Augmentation,Chaos Orb,0.03809,11
Bestiary,2018-03-26,Orb of Augmentation,Chaos Orb,0.03527,11
Bestiary,2018-03-27,Orb of Augmentation,Chaos Orb,0.03365,11
Bestiary,2018-03-28,Orb of Augmentation,Chaos Orb,0.03333,11
Bestiary,2018-03-29,Orb of Augmentation,Chaos Orb,0.03376,11
Bestiary,2018-03-30,Orb of Augmentation,Chaos Orb,0.03301,11
Bestiary,2018-03-31,Orb of Augmentation,Chaos Orb,0.03281,11
Bestiary,2018-04-01,Orb of Augmentation,Chaos Orb,0.03332,11
Bestiary,2018-04-02,Orb of Augmentation,Chaos Orb,0.03595,11
Bestiary,2018-04-03,Orb of Augmentation,Chaos Orb,0.03877,11
Bestiary,2018-04-04,Orb of Augmentation,Chaos Orb,0.04,11
Bestiary,2018-04-05,Orb of Augmentation,Chaos Orb,0.03959,11
Bestiary,2018-04-06,Orb of Augmentation,Chaos Orb,0.03936,11
Bestiary,2018-04-07,Orb of Augmentation,Chaos Orb,0.03787,11
Bestiary,2018-04-08,Orb of Augmentation,Chaos Orb,0.03759,11
Bestiary,2018-04-09,Orb of Augmentation,Chaos Orb,0.03421,11
Bestiary,2018-04-10,Orb of Augmentation,Chaos Orb,0.03333,11
Bestiary,2018-04-11,Orb of Augmentation,Chaos Orb,0.03774,11
Bestiary,2018-04-12,Orb of Augmentation,Chaos Orb,0.04006,11
Bestiary,2018-04-13,Orb of Augmentation,Chaos Orb,0.04295,11
Bestiary,2018-04-14,Orb of Augmentation,Chaos Orb,0.04144,11
Bestiary,2018-04-15,Orb of Augmentation,Chaos Orb,0.04167,11
Bestiary,2018-04-16,Orb of Augmentation,Chaos Orb,0.04028,11
Bestiary,2018-04-17,Orb of Augmentation,Chaos Orb,0.04123,11
Bestiary,2018-04-18,Orb of Augmentation,Chaos Orb,0.03973,11
Bestiary,2018-04-19,Orb of Augmentation,Chaos Orb,0.03818,11
Bestiary,2018-04-20,Orb of Augmentation,Chaos Orb,0.03954,11
Bestiary,2018-04-21,Orb of Augmentation,Chaos Orb,0.04412,11
