ID,League,date,Currency,PriceCurrency,Value,CurrencyID
2022,Betrayal,2018-12-07,Orb of Chance,Chaos Orb,0.5,3
2023,Betrayal,2018-12-08,Orb of Chance,Chaos Orb,0.14286,3
2024,Betrayal,2018-12-09,Orb of Chance,Chaos Orb,0.12422,3
2025,Betrayal,2018-12-10,Orb of Chance,Chaos Orb,0.10654,3
2026,Betrayal,2018-12-11,Orb of Chance,Chaos Orb,0.10794,3
2027,Betrayal,2018-12-12,Orb of Chance,Chaos Orb,0.10561,3
2028,Betrayal,2018-12-13,Orb of Chance,Chaos Orb,0.10566,3
2029,Betrayal,2018-12-14,Orb of Chance,Chaos Orb,0.1,3
2030,Betrayal,2018-12-15,Orb of Chance,Chaos Orb,0.1,3
2031,Betrayal,2018-12-16,Orb of Chance,Chaos Orb,0.09937,3
2032,Betrayal,2018-12-17,Orb of Chance,Chaos Orb,0.09524,3
2033,Betrayal,2018-12-18,Orb of Chance,Chaos Orb,0.09091,3
2034,Betrayal,2018-12-19,Orb of Chance,Chaos Orb,0.09091,3
2035,Betrayal,2018-12-20,Orb of Chance,Chaos Orb,0.08929,3
2036,Betrayal,2018-12-21,Orb of Chance,Chaos Orb,0.08982,3
2037,Betrayal,2018-12-22,Orb of Chance,Chaos Orb,0.08333,3
2038,Betrayal,2018-12-23,Orb of Chance,Chaos Orb,0.07919,3
2039,Betrayal,2018-12-24,Orb of Chance,Chaos Orb,0.07671,3
2040,Betrayal,2018-12-25,Orb of Chance,Chaos Orb,0.07604,3
2041,Betrayal,2018-12-26,Orb of Chance,Chaos Orb,0.07668,3
2042,Betrayal,2018-12-27,Orb of Chance,Chaos Orb,0.07598,3
2043,Betrayal,2018-12-28,Orb of Chance,Chaos Orb,0.07143,3
2044,Betrayal,2018-12-29,Orb of Chance,Chaos Orb,0.06897,3
2045,Betrayal,2018-12-30,Orb of Chance,Chaos Orb,0.06914,3
2046,Betrayal,2018-12-31,Orb of Chance,Chaos Orb,0.07046,3
2047,Betrayal,2019-01-01,Orb of Chance,Chaos Orb,0.0688,3
2048,Betrayal,2019-01-02,Orb of Chance,Chaos Orb,0.06922,3
2049,Betrayal,2019-01-03,Orb of Chance,Chaos Orb,0.07143,3
2050,Betrayal,2019-01-04,Orb of Chance,Chaos Orb,0.07143,3
2051,Betrayal,2019-01-05,Orb of Chance,Chaos Orb,0.06667,3
2052,Betrayal,2019-01-06,Orb of Chance,Chaos Orb,0.06667,3
2053,Betrayal,2019-01-07,Orb of Chance,Chaos Orb,0.06667,3
2054,Betrayal,2019-01-08,Orb of Chance,Chaos Orb,0.06667,3
2055,Betrayal,2019-01-09,Orb of Chance,Chaos Orb,0.06667,3
2056,Betrayal,2019-01-10,Orb of Chance,Chaos Orb,0.06667,3
2057,Betrayal,2019-01-11,Orb of Chance,Chaos Orb,0.06667,3
2058,Betrayal,2019-01-12,Orb of Chance,Chaos Orb,0.06667,3
2059,Betrayal,2019-01-13,Orb of Chance,Chaos Orb,0.06667,3
2060,Betrayal,2019-01-14,Orb of Chance,Chaos Orb,0.06667,3
2061,Betrayal,2019-01-15,Orb of Chance,Chaos Orb,0.07143,3
2062,Betrayal,2019-01-16,Orb of Chance,Chaos Orb,0.07143,3
2063,Betrayal,2019-01-17,Orb of Chance,Chaos Orb,0.07143,3
2064,Betrayal,2019-01-18,Orb of Chance,Chaos Orb,0.07143,3
2065,Betrayal,2019-01-19,Orb of Chance,Chaos Orb,0.07143,3
2066,Betrayal,2019-01-20,Orb of Chance,Chaos Orb,0.07143,3
2067,Betrayal,2019-01-21,Orb of Chance,Chaos Orb,0.07097,3
2068,Betrayal,2019-01-22,Orb of Chance,Chaos Orb,0.07143,3
2069,Betrayal,2019-01-23,Orb of Chance,Chaos Orb,0.07143,3
2070,Betrayal,2019-01-24,Orb of Chance,Chaos Orb,0.07143,3
2071,Betrayal,2019-01-25,Orb of Chance,Chaos Orb,0.07143,3
2072,Betrayal,2019-01-26,Orb of Chance,Chaos Orb,0.07143,3
2073,Betrayal,2019-01-27,Orb of Chance,Chaos Orb,0.07143,3
2074,Betrayal,2019-01-28,Orb of Chance,Chaos Orb,0.07143,3
2075,Betrayal,2019-01-29,Orb of Chance,Chaos Orb,0.07143,3
2076,Betrayal,2019-01-30,Orb of Chance,Chaos Orb,0.07143,3
2077,Betrayal,2019-01-31,Orb of Chance,Chaos Orb,0.07143,3
