ID,League,date,Currency,PriceCurrency,Value,CurrencyID
3090,Delve,2018-08-31,Blacksmith's Whetstone,Chaos Orb,1,10
3091,Delve,2018-09-01,Blacksmith's Whetstone,Chaos Orb,0.05509,10
3092,Delve,2018-09-02,Blacksmith's Whetstone,Chaos Orb,0.04762,10
3093,Delve,2018-09-03,Blacksmith's Whetstone,Chaos Orb,0.04,10
3094,Delve,2018-09-04,Blacksmith's Whetstone,Chaos Orb,0.04195,10
3095,Delve,2018-09-05,Blacksmith's Whetstone,Chaos Orb,0.04099,10
3096,Delve,2018-09-06,Blacksmith's Whetstone,Chaos Orb,0.04435,10
3097,Delve,2018-09-07,Blacksmith's Whetstone,Chaos Orb,0.0431,10
3098,Delve,2018-09-08,Blacksmith's Whetstone,Chaos Orb,0.04196,10
3099,Delve,2018-09-09,Blacksmith's Whetstone,Chaos Orb,0.03798,10
3100,Delve,2018-09-10,Blacksmith's Whetstone,Chaos Orb,0.03661,10
3101,Delve,2018-09-11,Blacksmith's Whetstone,Chaos Orb,0.03846,10
3102,Delve,2018-09-12,Blacksmith's Whetstone,Chaos Orb,0.03378,10
3103,Delve,2018-09-13,Blacksmith's Whetstone,Chaos Orb,0.03846,10
3104,Delve,2018-09-14,Blacksmith's Whetstone,Chaos Orb,0.03704,10
3105,Delve,2018-09-15,Blacksmith's Whetstone,Chaos Orb,0.03965,10
3106,Delve,2018-09-16,Blacksmith's Whetstone,Chaos Orb,0.03991,10
3107,Delve,2018-09-17,Blacksmith's Whetstone,Chaos Orb,0.03846,10
3108,Delve,2018-09-18,Blacksmith's Whetstone,Chaos Orb,0.03583,10
3109,Delve,2018-09-19,Blacksmith's Whetstone,Chaos Orb,0.03826,10
3110,Delve,2018-09-20,Blacksmith's Whetstone,Chaos Orb,0.03693,10
3111,Delve,2018-09-21,Blacksmith's Whetstone,Chaos Orb,0.03709,10
3112,Delve,2018-09-22,Blacksmith's Whetstone,Chaos Orb,0.03448,10
3113,Delve,2018-09-23,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3114,Delve,2018-09-24,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3115,Delve,2018-09-25,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3116,Delve,2018-09-26,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3117,Delve,2018-09-27,Blacksmith's Whetstone,Chaos Orb,0.03322,10
3118,Delve,2018-09-28,Blacksmith's Whetstone,Chaos Orb,0.03321,10
3119,Delve,2018-09-29,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3120,Delve,2018-09-30,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3121,Delve,2018-10-01,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3122,Delve,2018-10-02,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3123,Delve,2018-10-03,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3124,Delve,2018-10-04,Blacksmith's Whetstone,Chaos Orb,0.03325,10
3125,Delve,2018-10-05,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3126,Delve,2018-10-06,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3127,Delve,2018-10-07,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3128,Delve,2018-10-08,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3129,Delve,2018-10-09,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3130,Delve,2018-10-10,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3131,Delve,2018-10-11,Blacksmith's Whetstone,Chaos Orb,0.03333,10
3132,Delve,2018-10-12,Blacksmith's Whetstone,Chaos Orb,0.03442,10
3133,Delve,2018-10-13,Blacksmith's Whetstone,Chaos Orb,0.03539,10
3134,Delve,2018-10-14,Blacksmith's Whetstone,Chaos Orb,0.03518,10
3135,Delve,2018-10-15,Blacksmith's Whetstone,Chaos Orb,0.03243,10
3136,Delve,2018-10-16,Blacksmith's Whetstone,Chaos Orb,0.03538,10
3137,Delve,2018-10-17,Blacksmith's Whetstone,Chaos Orb,0.03523,10
3138,Delve,2018-10-18,Blacksmith's Whetstone,Chaos Orb,0.03562,10
3139,Delve,2018-10-19,Blacksmith's Whetstone,Chaos Orb,0.03571,10
3140,Delve,2018-10-20,Blacksmith's Whetstone,Chaos Orb,0.03549,10
3141,Delve,2018-10-21,Blacksmith's Whetstone,Chaos Orb,0.03571,10
3142,Delve,2018-10-22,Blacksmith's Whetstone,Chaos Orb,0.03571,10
3143,Delve,2018-10-23,Blacksmith's Whetstone,Chaos Orb,0.03571,10
3144,Delve,2018-10-24,Blacksmith's Whetstone,Chaos Orb,0.03571,10
3145,Delve,2018-10-25,Blacksmith's Whetstone,Chaos Orb,0.03566,10
