ID,League,date,Currency,PriceCurrency,Value,CurrencyID
4230,Incursion,2018-06-01,Orb of Chance,Chaos Orb,0.31468,3
4231,Incursion,2018-06-02,Orb of Chance,Chaos Orb,0.125,3
4232,Incursion,2018-06-03,Orb of Chance,Chaos Orb,0.08337,3
4233,Incursion,2018-06-04,Orb of Chance,Chaos Orb,0.1,3
4234,Incursion,2018-06-05,Orb of Chance,Chaos Orb,0.1,3
4235,Incursion,2018-06-06,Orb of Chance,Chaos Orb,0.10493,3
4236,Incursion,2018-06-07,Orb of Chance,Chaos Orb,0.1045,3
4237,Incursion,2018-06-08,Orb of Chance,Chaos Orb,0.1,3
4238,Incursion,2018-06-09,Orb of Chance,Chaos Orb,0.10478,3
4239,Incursion,2018-06-10,Orb of Chance,Chaos Orb,0.09639,3
4240,Incursion,2018-06-11,Orb of Chance,Chaos Orb,0.09524,3
4241,Incursion,2018-06-12,Orb of Chance,Chaos Orb,0.09091,3
4242,Incursion,2018-06-13,Orb of Chance,Chaos Orb,0.09091,3
4243,Incursion,2018-06-14,Orb of Chance,Chaos Orb,0.092,3
4244,Incursion,2018-06-15,Orb of Chance,Chaos Orb,0.09524,3
4245,Incursion,2018-06-16,Orb of Chance,Chaos Orb,0.09254,3
4246,Incursion,2018-06-17,Orb of Chance,Chaos Orb,0.09091,3
4247,Incursion,2018-06-18,Orb of Chance,Chaos Orb,0.09259,3
4248,Incursion,2018-06-19,Orb of Chance,Chaos Orb,0.09599,3
4249,Incursion,2018-06-20,Orb of Chance,Chaos Orb,0.09709,3
4250,Incursion,2018-06-21,Orb of Chance,Chaos Orb,0.09927,3
4251,Incursion,2018-06-22,Orb of Chance,Chaos Orb,0.09901,3
4252,Incursion,2018-06-23,Orb of Chance,Chaos Orb,0.09907,3
4253,Incursion,2018-06-24,Orb of Chance,Chaos Orb,0.09836,3
4254,Incursion,2018-06-25,Orb of Chance,Chaos Orb,0.09901,3
4255,Incursion,2018-06-26,Orb of Chance,Chaos Orb,0.09612,3
4256,Incursion,2018-06-27,Orb of Chance,Chaos Orb,0.1,3
4257,Incursion,2018-06-28,Orb of Chance,Chaos Orb,0.09985,3
4258,Incursion,2018-06-29,Orb of Chance,Chaos Orb,0.1,3
4259,Incursion,2018-06-30,Orb of Chance,Chaos Orb,0.09835,3
4260,Incursion,2018-07-01,Orb of Chance,Chaos Orb,0.09528,3
4261,Incursion,2018-07-02,Orb of Chance,Chaos Orb,0.09524,3
4262,Incursion,2018-07-03,Orb of Chance,Chaos Orb,0.09709,3
4263,Incursion,2018-07-04,Orb of Chance,Chaos Orb,0.1,3
4264,Incursion,2018-07-05,Orb of Chance,Chaos Orb,0.1,3
4265,Incursion,2018-07-06,Orb of Chance,Chaos Orb,0.1,3
4266,Incursion,2018-07-07,Orb of Chance,Chaos Orb,0.1,3
4267,Incursion,2018-07-08,Orb of Chance,Chaos Orb,0.09901,3
4268,Incursion,2018-07-09,Orb of Chance,Chaos Orb,0.09537,3
4269,Incursion,2018-07-10,Orb of Chance,Chaos Orb,0.09091,3
4270,Incursion,2018-07-11,Orb of Chance,Chaos Orb,0.09159,3
4271,Incursion,2018-07-12,Orb of Chance,Chaos Orb,0.09091,3
4272,Incursion,2018-07-13,Orb of Chance,Chaos Orb,0.09091,3
4273,Incursion,2018-07-14,Orb of Chance,Chaos Orb,0.09091,3
4274,Incursion,2018-07-15,Orb of Chance,Chaos Orb,0.09091,3
4275,Incursion,2018-07-16,Orb of Chance,Chaos Orb,0.08929,3
4276,Incursion,2018-07-17,Orb of Chance,Chaos Orb,0.08929,3
4277,Incursion,2018-07-18,Orb of Chance,Chaos Orb,0.08621,3
4278,Incursion,2018-07-19,Orb of Chance,Chaos Orb,0.08621,3
4279,Incursion,2018-07-20,Orb of Chance,Chaos Orb,0.08333,3
4280,Incursion,2018-07-21,Orb of Chance,Chaos Orb,0.08333,3
4281,Incursion,2018-07-22,Orb of Chance,Chaos Orb,0.08333,3
4282,Incursion,2018-07-23,Orb of Chance,Chaos Orb,0.08333,3
4283,Incursion,2018-07-24,Orb of Chance,Chaos Orb,0.08333,3
4284,Incursion,2018-07-25,Orb of Chance,Chaos Orb,0.08333,3
4285,Incursion,2018-07-26,Orb of Chance,Chaos Orb,0.08396,3
4286,Incursion,2018-07-27,Orb of Chance,Chaos Orb,0.08598,3
4287,Incursion,2018-07-28,Orb of Chance,Chaos Orb,0.08629,3
4288,Incursion,2018-07-29,Orb of Chance,Chaos Orb,0.08342,3
4289,Incursion,2018-07-30,Orb of Chance,Chaos Orb,0.08333,3
4290,Incursion,2018-07-31,Orb of Chance,Chaos Orb,0.08585,3
4291,Incursion,2018-08-01,Orb of Chance,Chaos Orb,0.09009,3
4292,Incursion,2018-08-02,Orb of Chance,Chaos Orb,0.09025,3
4293,Incursion,2018-08-03,Orb of Chance,Chaos Orb,0.08696,3
4294,Incursion,2018-08-04,Orb of Chance,Chaos Orb,0.08738,3
4295,Incursion,2018-08-05,Orb of Chance,Chaos Orb,0.09091,3
4296,Incursion,2018-08-06,Orb of Chance,Chaos Orb,0.09017,3
4297,Incursion,2018-08-07,Orb of Chance,Chaos Orb,0.08673,3
4298,Incursion,2018-08-08,Orb of Chance,Chaos Orb,0.0854,3
4299,Incursion,2018-08-09,Orb of Chance,Chaos Orb,0.08714,3
4300,Incursion,2018-08-10,Orb of Chance,Chaos Orb,0.08349,3
4301,Incursion,2018-08-11,Orb of Chance,Chaos Orb,0.08333,3
